Name,date,MMSI,CallSign,ImoNumber ,Destination,Eta mois,Eta day,Eta hour,Eta minutes,Type of vessel,DimensionA,DimensionB,DimensionC,DimensionD
SEAJACKS SCYLLA,2023-03-24 08:12:37.946412+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
PERSEFONI I         ,2023-03-24 08:12:37.947879+00:00,229702000,9HA5568,9636515,AGIOS KOSMAS        ,1,1,19,0,37,27,27,6,6
NORTHWIND II        ,2023-03-24 08:12:37.994227+00:00,538070864,V7YU5  ,1003023,ZEA MARINA          ,1,1,18,0,37,18,20,4,4
ALHASSAN ALMARRAKCHI,2023-03-24 08:12:37.996621+00:00,242017400,CNA5587,9867061,MA CAP SIM          ,3,24,1,0,27,22,26,8,4
HORIZON,2023-03-24 08:12:38.006089+00:00,244710519,PE5681,0,DUIVENDRECHTSCHE VAA,1,8,18,7,79,50,12,2,3
CHECKMATE           ,2023-03-24 08:12:38.007040+00:00,538071607,V7A4737,9673070,MALAGA              ,12,1,16,0,37,31,11,4,4
PORTOBELO1,2023-03-24 08:12:38.007803+00:00,701006235,LW 4832,0,A PUERTO MAR D PLATA,1,28,6,30,30,16,8,2,5
HORIZON,2023-03-24 08:12:38.068915+00:00,244710519,PE5681,0,DUIVENDRECHTSCHE VAA,1,8,18,7,79,50,12,2,3
BAC 26              ,2023-03-24 08:12:38.069575+00:00,226015980,FM7894 ,0,,0,0,24,60,69,22,22,6,5
MPOSS,2023-03-24 08:12:38.167744+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
MPOSS,2023-03-24 08:12:38.187398+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
SPES SALUTIS,2023-03-24 08:12:38.219065+00:00,244660698,PG3729,0,-                   ,10,17,0,0,79,78,12,6,4
HOPETOUN,2023-03-24 08:12:38.224248+00:00,232002720,MWVX6,9140865,HOUND POINT,0,0,0,0,52,20,23,6,8
ELLEN               ,2023-03-24 08:12:38.226932+00:00,244060192,PD9890 ,92677871,ROTTERDAM BOTLEK    ,3,20,0,22,80,95,15,8,4
ZEELAND,2023-03-24 08:12:38.273209+00:00,244780045,PA5566,0,ROTTERDAM BUNKERS,0,0,24,60,80,125,10,6,6
FLEX VIGILANT       ,2023-03-24 08:12:38.275202+00:00,538009179,V7A4416,9862475,ES ALG              ,3,24,7,0,81,230,67,26,20
ORION,2023-03-24 08:12:38.280148+00:00,244710550,PH2801,0,VANDERVELDEMARINENL,12,31,18,55,52,8,7,3,1
ORION,2023-03-24 08:12:38.317752+00:00,244710550,PH2801,0,VANDERVELDEMARINENL,12,31,18,55,52,8,7,3,1
SALVAMAR TENERIFE   ,2023-03-24 08:12:38.328780+00:00,224023000,EA 9542,117567,SEARCH AND RESCUE   ,0,0,24,60,51,12,8,3,3
ORION,2023-03-24 08:12:38.377713+00:00,244710550,PH2801,0,VANDERVELDEMARINENL,12,31,18,55,52,8,7,3,1
DYRAFJELL,2023-03-24 08:12:38.413739+00:00,257006790,LH2002,0,                   ,3,6,7,44,79,5,10,3,5
DYRAFJELL,2023-03-24 08:12:38.417101+00:00,257006790,LH2002,0,                   ,3,6,7,44,79,5,10,3,5
DYRAFJELL,2023-03-24 08:12:38.421929+00:00,257006790,LH2002,0,                   ,3,6,7,44,79,5,10,3,5
MPOSS,2023-03-24 08:12:38.425390+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
FAIRPLAY VIII,2023-03-24 08:12:38.430321+00:00,211286160,DNCD,0,HANSAHAFEN,3,22,12,42,52,10,15,2,5
COSCO SCORPIO       ,2023-03-24 08:12:38.460114+00:00,477183800,VRRX5  ,9789635,BE ANR              ,3,19,7,0,71,159,241,24,35
ARKANSAS            ,2023-03-24 08:12:38.469239+00:00,367756280,WDJ2212,0,USSAV               ,1,28,20,0,31,10,25,2,6
FRIEDERIKE          ,2023-03-24 08:12:38.469813+00:00,211294410,DDHT   ,8837198,BAKEN W             ,3,20,13,0,33,36,10,6,4
SPECTRUM 3          ,2023-03-24 08:12:38.523009+00:00,235082698,2DXB6  ,960960300,RAMSGATE            ,3,24,18,0,40,5,14,2,4
YOLANDE ,2023-03-24 08:12:38.529002+00:00,244180941,PF3017 ,0,0000DO,1,28,0,0,90,76,4,3,6
SPECTRUM 3          ,2023-03-24 08:12:38.562594+00:00,235082698,2DXB6  ,960960300,RAMSGATE            ,3,24,18,0,40,5,14,2,4
EILEEN MCALLISTER   ,2023-03-24 08:12:38.566865+00:00,368127980,WDL4089,9903592,PORT EVERGLADES     ,0,0,24,60,52,18,10,7,3
YOLANDE ,2023-03-24 08:12:38.594355+00:00,244180941,PF3017 ,0,0000DO,1,28,0,0,90,76,4,3,6
YOLANDE ,2023-03-24 08:12:38.603266+00:00,244180941,PF3017 ,0,0000DO,1,28,0,0,90,76,4,3,6
EVELINE,2023-03-24 08:12:38.605422+00:00,244740841,PD2626,0,,0,0,24,60,79,74,12,3,7
NOORMAN             ,2023-03-24 08:12:38.626855+00:00,211442520,DJQV   ,6609705,KIEL                ,1,5,13,0,52,8,16,4,4
HORIZON,2023-03-24 08:12:38.627698+00:00,244710519,PE5681,0,DUIVENDRECHTSCHE VAA,1,8,18,7,79,50,12,2,3
FATMAN,2023-03-24 08:12:38.628973+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
FATMAN,2023-03-24 08:12:38.630991+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
RIO INDIO           ,2023-03-24 08:12:38.631457+00:00,356497000,TUG)IND,9363601,                    ,0,0,0,0,50,12,14,9,3
SEAJACKS SCYLLA,2023-03-24 08:12:38.633305+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
FREBEL,2023-03-24 08:12:38.634203+00:00,205314890,OT3148,0,ANTWERPEN,0,0,24,60,79,14,0,2,7
SPECTRUM 3          ,2023-03-24 08:12:38.670470+00:00,235082698,2DXB6  ,960960300,RAMSGATE            ,3,24,18,0,40,5,14,2,4
EVELINE,2023-03-24 08:12:38.671837+00:00,244740841,PD2626,0,,0,0,24,60,79,74,12,3,7
SEAJACKS SCYLLA,2023-03-24 08:12:38.674689+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
COTE DES DUNES      ,2023-03-24 08:12:38.712928+00:00,227022800,FOBQ   ,9232527,CALAIS DOVER CALAIS ,2,1,22,0,60,27,158,9,18
SEAJACKS SCYLLA,2023-03-24 08:12:38.718292+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
VB IVY              ,2023-03-24 08:12:38.723030+00:00,244830924,PCBI   ,9668037,DEWVN               ,3,2,5,0,52,10,18,4,6
HELGOLAND 2,2023-03-24 08:12:38.737014+00:00,211476340,DF7380,0,BREMEN,0,0,24,60,99,26,10,10,5
MOONSHADOW,2023-03-24 08:12:38.823262+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
ZETAGAS             ,2023-03-24 08:12:38.847146+00:00,305794000,V2FT8  ,9623984,EG AIS>>LT KLJ      ,3,19,12,0,89,86,27,4,16
DJURGARDEN 7   ,2023-03-24 08:12:38.848003+00:00,265633760,SFE2519,0,STENPIREN_NYAVARVET,1,1,0,0,69,5,16,3,3
DJURGARDEN 7   ,2023-03-24 08:12:38.848490+00:00,265633760,SFE2519,0,STENPIREN_NYAVARVET,1,1,0,0,69,5,16,3,3
DJURGARDEN 7   ,2023-03-24 08:12:38.852510+00:00,265633760,SFE2519,0,STENPIREN_NYAVARVET,1,1,0,0,69,5,16,3,3
DJURGARDEN 7   ,2023-03-24 08:12:38.853033+00:00,265633760,SFE2519,0,STENPIREN_NYAVARVET,1,1,0,0,69,5,16,3,3
GULLAAS,2023-03-24 08:12:38.896294+00:00,258326000,LAMS,8700993,NOSAS,3,24,15,30,70,55,12,9,2
GULLAAS,2023-03-24 08:12:38.918139+00:00,258326000,LAMS,8700993,NOSAS,3,24,15,30,70,55,12,9,2
O34 LADY FORTUNA,2023-03-24 08:12:38.925200+00:00,205327000,OPBH,0,OOSTENDE,11,12,8,38,30,12,10,0,6
GULLAAS,2023-03-24 08:12:38.927356+00:00,258326000,LAMS,8700993,NOSAS,3,24,15,30,70,55,12,9,2
RIO,2023-03-24 08:12:38.929143+00:00,229830000,9HA5610,9851024,MONACO,2,25,10,0,37,22,40,6,6
COTE DES DUNES      ,2023-03-24 08:12:38.952913+00:00,227022800,FOBQ   ,9232527,CALAIS DOVER CALAIS ,2,1,22,0,60,27,158,9,18
HENRI-R,2023-03-24 08:12:38.953692+00:00,244670494,PE9067,0,BERENDRECHTSLUIS,3,25,5,33,79,123,12,6,9
AYA                 ,2023-03-24 08:12:38.954819+00:00,352001071,3E2440 ,9516557,IL HFA              ,3,24,5,0,70,86,18,12,5
GLUECKSTADT FS      ,2023-03-24 08:12:38.997761+00:00,211473470,DA7258 ,0,GLUECKSTADT         ,0,0,24,60,60,39,10,5,8
GLUECKSTADT FS      ,2023-03-24 08:12:38.998375+00:00,211473470,DA7258 ,0,GLUECKSTADT         ,0,0,24,60,60,39,10,5,8
GLUECKSTADT FS      ,2023-03-24 08:12:39.004861+00:00,211473470,DA7258 ,0,GLUECKSTADT         ,0,0,24,60,60,39,10,5,8
AVENIR,2023-03-24 08:12:39.020596+00:00,244660583,PI2256 ,0,NLRTM012621178800012,9,5,0,0,79,123,12,11,3
SEAJACKS SCYLLA,2023-03-24 08:12:39.022144+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
RUSADIR,2023-03-24 08:12:39.023438+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:12:39.024664+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:12:39.025012+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
GLUECKSTADT FS      ,2023-03-24 08:12:39.025601+00:00,211473470,DA7258 ,0,GLUECKSTADT         ,0,0,24,60,60,39,10,5,8
MSC AZURIT F,2023-03-24 08:12:39.027130+00:00,636021078,5LCD9,9403437,ESVLC,3,27,12,0,70,137,11,16,7
COTE DES DUNES      ,2023-03-24 08:12:39.050769+00:00,227022800,FOBQ   ,9232527,CALAIS DOVER CALAIS ,2,1,22,0,60,27,158,9,18
SEAJACKS SCYLLA,2023-03-24 08:12:39.052504+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
FATMAN,2023-03-24 08:12:39.056449+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
FATMAN,2023-03-24 08:12:39.057086+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
FATMAN,2023-03-24 08:12:39.057704+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
FATMAN,2023-03-24 08:12:39.058389+00:00,265803980,SFE2165,0,OCKERO,0,0,24,60,34,5,10,5,5
HENRI-R,2023-03-24 08:12:39.115523+00:00,244670494,PE9067,0,BERENDRECHTSLUIS,3,25,5,33,79,123,12,6,9
ARABIAN             ,2023-03-24 08:12:39.150993+00:00,367561270,WDG6844,1244645,NASSAU              ,0,0,6,30,70,42,13,5,7
JUICE EXPRESS,2023-03-24 08:12:39.152282+00:00,636017922,D5NI8,9812456,TAMPA,3,23,15,0,79,85,15,8,8
BROOKSMCCALL        ,2023-03-24 08:12:39.153238+00:00,338257000,WCZ7811,8964367,BRIDGEPORT          ,3,20,21,0,0,14,30,6,6
VIKING XPRS,2023-03-24 08:12:39.163408+00:00,230705000,OJND,9375654,TALLINN<>HELSINKI,3,24,11,15,69,25,160,13,13
ESPADA              ,2023-03-24 08:12:39.166171+00:00,370590000,LAU)ESP,0,                    ,0,0,0,0,31,15,3,1,6
MPOSS,2023-03-24 08:12:39.190624+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
NEW HAMPSHIRE,2023-03-24 08:12:39.194287+00:00,244620839,PG9608,0,KOLN-ANTWERPEN-KOLN,9,6,14,59,70,123,12,6,9
MPOSS,2023-03-24 08:12:39.206550+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
MPOSS,2023-03-24 08:12:39.219845+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
NIEUWE DIEP         ,2023-03-24 08:12:39.223902+00:00,244579000,PBYC   ,8900799,TERSCHELLING        ,3,14,15,0,55,14,24,8,1
DYNAMO,2023-03-24 08:12:39.228575+00:00,244730287,PH6704,0,WORKUM@@@@  ,0,0,0,0,33,36,6,4,3
THOR INDEPENDENCE   ,2023-03-24 08:12:39.231189+00:00,564731000,9V9088 ,9222510,IT VCE              ,3,20,14,30,70,162,28,11,21
BILLWERDER ,2023-03-24 08:12:39.253850+00:00,211682430,DA9064,0,HAMBURG ,6,1,20,15,99,6,9,1,3
AMARENS,2023-03-24 08:12:39.256697+00:00,244660622,PI6652,0,ROTTERDAM 2E PETROHA,3,23,3,8,90,110,15,7,5
BILLWERDER ,2023-03-24 08:12:39.261498+00:00,211682430,DA9064,0,HAMBURG ,6,1,20,15,99,6,9,1,3
JOLLY PERLA,2023-03-24 08:12:39.262072+00:00,247314200,ICQK,9578969,ESBCN>ITGOA,3,23,4,0,79,174,66,9,29
OTTER               ,2023-03-24 08:12:39.262369+00:00,244710812,PB8871 ,0,ZWIJNDRECHT         ,0,0,24,60,69,4,15,3,2
SPICA,2023-03-24 08:12:39.324810+00:00,211813320,DF3780,0,VAN CITTERSHAVEN VLI,3,25,14,7,89,98,12,7,5
SEACAT LIBERTY      ,2023-03-24 08:12:39.375238+00:00,232009504,MBJU5  ,8562690,LOWESTOFT           ,3,24,18,0,48,8,15,7,2
OLAVA               ,2023-03-24 08:12:39.429505+00:00,257298900,LIEZ   ,0,SKJAERHALDENFJORDEN ,12,11,10,40,60,6,11,3,4
RONJA CARRIER       ,2023-03-24 08:12:39.433425+00:00,259288000,LAUU   ,9452311,TLF +4741217807     ,1,28,2,30,70,22,40,6,6
PRIDE OF FAIAL,2023-03-24 08:12:39.435639+00:00,244630829,PB2097,0,ARA > ZWOLLE > ARA,12,31,12,0,80,95,15,6,5
RONJA CARRIER       ,2023-03-24 08:12:39.438079+00:00,259288000,LAUU   ,9452311,TLF +4741217807     ,1,28,2,30,70,22,40,6,6
RONJA CARRIER       ,2023-03-24 08:12:39.438955+00:00,259288000,LAUU   ,9452311,TLF +4741217807     ,1,28,2,30,70,22,40,6,6
LUZON               ,2023-03-24 08:12:39.442136+00:00,636018250,D5OV6  ,9479008,GIBRALTAR           ,3,8,23,0,70,162,28,20,12
NATACHA ,2023-03-24 08:12:39.468314+00:00,227099050,,0,DK,10,15,13,58,79,70,10,3,5
RUSADIR,2023-03-24 08:12:39.513919+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:39.515298+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:12:39.516404+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
L & R 6,2023-03-24 08:12:39.665846+00:00,211516500,DB5168,0,HAMBURG,1,1,0,26,33,5,7,3,1
VIKING XPRS,2023-03-24 08:12:39.671115+00:00,230705000,OJND,9375654,TALLINN<>HELSINKI,3,24,11,15,69,25,160,13,13
VIKING XPRS,2023-03-24 08:12:39.680862+00:00,230705000,OJND,9375654,TALLINN<>HELSINKI,3,24,11,15,69,25,160,13,13
VOLT COLLECTOR 1,2023-03-24 08:12:39.720676+00:00,257094310,LH3288,0,AALESUND,3,24,18,0,79,5,10,6,6
HAFNIA MALACCA      ,2023-03-24 08:12:39.727299+00:00,566577000,9V3280 ,9725627,FRDKK               ,3,23,18,0,80,149,35,22,6
HAV TUNA,2023-03-24 08:12:39.775043+00:00,304717000,V2QU8,9084487,NLDOR,3,23,18,0,70,75,13,6,6
VIKING XPRS,2023-03-24 08:12:39.781330+00:00,230705000,OJND,9375654,TALLINN<>HELSINKI,3,24,11,15,69,25,160,13,13
PRIDE OF FAIAL,2023-03-24 08:12:39.785028+00:00,244630829,PB2097,0,ARA > ZWOLLE > ARA,12,31,12,0,80,95,15,6,5
SEAJACKS SCYLLA,2023-03-24 08:12:39.785521+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
DANPILOT  SPAR ES   ,2023-03-24 08:12:39.785979+00:00,219000771,OWIO   ,0,ESBJERG             ,0,0,24,60,50,11,10,3,3
SL-9 JOHANNA,2023-03-24 08:12:39.855634+00:00,244938000,PHOE,7928835,FISHING GROUNDS,0,0,0,0,30,7,28,5,3
BRABO               ,2023-03-24 08:12:39.894853+00:00,244660408,PF3610 ,0,,0,0,24,60,92,6,17,3,3
ESVAGT SCHELDE      ,2023-03-24 08:12:39.938853+00:00,219026491,OYFF2  ,9878967,OOSTENDE            ,3,24,5,0,90,19,51,10,6
ROBERTA             ,2023-03-24 08:12:39.941221+00:00,538006089,V7JP8  ,9700653,RU ULU              ,3,21,1,0,70,170,29,12,20
BZN 5,2023-03-24 08:12:39.943902+00:00,244850736,PA6065,0,,0,0,24,60,69,2,16,2,2
VB SANDON,2023-03-24 08:12:39.980504+00:00,235074754,2CPS8,9120152, LIVERPOOL TUG OPS,3,16,18,0,52,15,15,6,6
PROVIDENCE,2023-03-24 08:12:39.982290+00:00,244690301,PD5119,0,MUELHEIM / RUHR,2,18,20,0,79,122,13,8,4
BZN 5,2023-03-24 08:12:39.989192+00:00,244850736,PA6065,0,,0,0,24,60,69,2,16,2,2
VB SANDON,2023-03-24 08:12:39.989937+00:00,235074754,2CPS8,9120152, LIVERPOOL TUG OPS,3,16,18,0,52,15,15,6,6
PROVIDENCE,2023-03-24 08:12:39.990210+00:00,244690301,PD5119,0,MUELHEIM / RUHR,2,18,20,0,79,122,13,8,4
VB SANDON,2023-03-24 08:12:39.993961+00:00,235074754,2CPS8,9120152, LIVERPOOL TUG OPS,3,16,18,0,52,15,15,6,6
EEMSBORG            ,2023-03-24 08:12:39.994430+00:00,245278000,PBMD   ,9423748,IE AUG              ,3,25,10,0,79,123,15,13,3
PROVIDENCE,2023-03-24 08:12:40.012258+00:00,244690301,PD5119,0,MUELHEIM / RUHR,2,18,20,0,79,122,13,8,4
AVALON,2023-03-24 08:12:40.059476+00:00,244013735,PD9189,0,,0,0,24,60,37,25,1,2,3
TSM WINDCAT 54      ,2023-03-24 08:12:40.063845+00:00,228430700,FMTI   ,9973107, FECAMP / OWF       ,10,20,18,30,40,10,13,3,4
VB SANDON,2023-03-24 08:12:40.064322+00:00,235074754,2CPS8,9120152, LIVERPOOL TUG OPS,3,16,18,0,52,15,15,6,6
AVALON,2023-03-24 08:12:40.098257+00:00,244013735,PD9189,0,,0,0,24,60,37,25,1,2,3
HORIZON,2023-03-24 08:12:40.155018+00:00,244710519,PE5681,0,DUIVENDRECHTSCHE VAA,1,8,18,7,79,50,12,2,3
EVELINE,2023-03-24 08:12:40.155615+00:00,244740841,PD2626,0,,0,0,24,60,79,74,12,3,7
SPEYK               ,2023-03-24 08:12:40.157651+00:00,244110938,PDFG   ,9374698,FERROL              ,3,30,9,0,70,83,7,7,6
WILSON DUISBURG,2023-03-24 08:12:40.195403+00:00,314037000,8PMH,9557410,FRSNR,3,22,1,0,70,79,9,4,8
BOTNICA,2023-03-24 08:12:40.201393+00:00,276805000,ESJV,9165877,EEVAN,3,22,6,0,99,34,63,12,12
WILSON DUISBURG,2023-03-24 08:12:40.203685+00:00,314037000,8PMH,9557410,FRSNR,3,22,1,0,70,79,9,4,8
FRENCH WARSHIP CHL,2023-03-24 08:12:40.282706+00:00,227801800,FACL,0,0,0,0,24,60,0,0,0,0,0
M/Y ADORA           ,2023-03-24 08:12:40.292583+00:00,229931000,9HA3728,9586552,FLISVOS             ,3,15,9,0,37,35,26,5,5
M/Y ADORA           ,2023-03-24 08:12:40.318355+00:00,229931000,9HA3728,9586552,FLISVOS             ,3,15,9,0,37,35,26,5,5
VOLLSOY,2023-03-24 08:12:40.344238+00:00,258226000,LLLZ,9237993,MEKJARVIK - KVITSOY,12,31,0,0,60,43,43,7,7
PURA VIDA           ,2023-03-24 08:12:40.348281+00:00,205538490,OT5384 ,0,ANTWERPEN           ,12,1,0,0,79,95,15,5,7
MASKULIN,2023-03-24 08:12:40.392021+00:00,257086980,LF6551,0,FONNES PILOT,12,1,20,0,50,10,4,2,2
MARK LIUBOVSKII,2023-03-24 08:12:40.400048+00:00,273350610,UDBS,870240800,NORWEGIAN SEA,3,2,23,0,30,15,55,8,8
VOLT COLLECTOR 1,2023-03-24 08:12:40.400708+00:00,257094310,LH3288,0,AALESUND,3,24,18,0,79,5,10,6,6
WILSON PALDISKI     ,2023-03-24 08:12:40.402164+00:00,257538000,LAJX8  ,9373527,NOFNE               ,3,22,22,0,70,80,10,5,10
HAGLAND CHIEF       ,2023-03-24 08:12:40.411934+00:00,257207000,LACT8  ,9521344,SKOGN               ,3,25,1,0,70,75,15,5,9
M/Y ADORA           ,2023-03-24 08:12:40.416301+00:00,229931000,9HA3728,9586552,FLISVOS             ,3,15,9,0,37,35,26,5,5
MASKULIN,2023-03-24 08:12:40.420969+00:00,257086980,LF6551,0,FONNES PILOT,12,1,20,0,50,10,4,2,2
MARK LIUBOVSKII,2023-03-24 08:12:40.423258+00:00,273350610,UDBS,870240800,NORWEGIAN SEA,3,2,23,0,30,15,55,8,8
VOLT COLLECTOR 1,2023-03-24 08:12:40.424057+00:00,257094310,LH3288,0,AALESUND,3,24,18,0,79,5,10,6,6
HAGLAND CHIEF       ,2023-03-24 08:12:40.442698+00:00,257207000,LACT8  ,9521344,SKOGN               ,3,25,1,0,70,75,15,5,9
MASKULIN,2023-03-24 08:12:40.449095+00:00,257086980,LF6551,0,FONNES PILOT,12,1,20,0,50,10,4,2,2
MARK LIUBOVSKII,2023-03-24 08:12:40.456374+00:00,273350610,UDBS,870240800,NORWEGIAN SEA,3,2,23,0,30,15,55,8,8
VOLT COLLECTOR 1,2023-03-24 08:12:40.456890+00:00,257094310,LH3288,0,AALESUND,3,24,18,0,79,5,10,6,6
HAGLAND CHIEF       ,2023-03-24 08:12:40.457857+00:00,257207000,LACT8  ,9521344,SKOGN               ,3,25,1,0,70,75,15,5,9
OBAN,2023-03-24 08:12:40.486505+00:00,246085000,PDWJ,9096650,KAMPEN,0,0,24,60,36,39,0,0,7
OBAN,2023-03-24 08:12:40.487800+00:00,246085000,PDWJ,9096650,KAMPEN,0,0,24,60,36,39,0,0,7
M/Y ADORA           ,2023-03-24 08:12:40.531057+00:00,229931000,9HA3728,9586552,FLISVOS             ,1,1,9,0,37,35,26,5,5
SEAJACKS SCYLLA,2023-03-24 08:12:40.531745+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
WL ATLANTIC,2023-03-24 08:12:40.535579+00:00,477859500,VRVA3,9489417,ITACOATIARA,3,15,12,0,70,170,10,10,20
SEAJACKS SCYLLA,2023-03-24 08:12:40.557613+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
MPOSS,2023-03-24 08:12:40.601778+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
SEAJACKS SCYLLA,2023-03-24 08:12:40.602776+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
DIONYSIOS Z         ,2023-03-24 08:12:40.622343+00:00,241660000,SVA9080,9586540,THESSALONIKI GREECE ,9,20,0,0,52,15,25,3,8
OBAN,2023-03-24 08:12:40.624152+00:00,246085000,PDWJ,9096650,KAMPEN,0,0,24,60,36,39,0,0,7
SEAJACKS SCYLLA,2023-03-24 08:12:40.631498+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
MOONSHADOW,2023-03-24 08:12:40.655848+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
SEAJACKS SCYLLA,2023-03-24 08:12:40.657371+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
CONDOR LIBERATION   ,2023-03-24 08:12:40.658014+00:00,311037300,C6YL4  ,9551363,POOLE               ,3,20,20,45,40,54,48,10,16
MOONSHADOW,2023-03-24 08:12:40.675465+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
LOTSE 3,2023-03-24 08:12:40.678013+00:00,211436370,DG5668,0,HAMBURG,5,17,14,0,0,9,6,2,2
LOTSE 3,2023-03-24 08:12:40.683153+00:00,211436370,DG5668,0,HAMBURG,5,17,14,0,0,9,6,2,2
RUSADIR,2023-03-24 08:12:40.688635+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:12:40.689058+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
LOTSE 3,2023-03-24 08:12:40.691487+00:00,211436370,DG5668,0,HAMBURG,5,17,14,0,0,9,6,2,2
MACKO,2023-03-24 08:12:40.717723+00:00,244740779,PI2570,0,REGENSBURG,4,3,19,0,79,98,12,4,5
BAS ANNE,2023-03-24 08:12:40.722120+00:00,244700650,PG5078,0,2,7,1,0,0,79,50,19,4,4
BEATRICE            ,2023-03-24 08:12:40.723862+00:00,636092881,D5SH7  ,9865245,FRLPE               ,3,18,12,0,70,157,26,21,10
PRINS RICHARD,2023-03-24 08:12:40.730592+00:00,219000429,OZLB2,9144419,RODBY <-> PUTTGARDEN,12,31,0,0,60,23,119,13,13
SEAJACKS SCYLLA,2023-03-24 08:12:40.731284+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
SEAJACKS SCYLLA,2023-03-24 08:12:40.731719+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
FOLKE PATRIKSSON 1,2023-03-24 08:12:40.732467+00:00,257075250,LF6486,0,TLF:02016,0,0,24,60,51,7,1,1,1
BEATRICE            ,2023-03-24 08:12:40.778320+00:00,636092881,D5SH7  ,9865245,FRLPE               ,3,18,12,0,70,157,26,21,10
BEATRICE            ,2023-03-24 08:12:40.782664+00:00,636092881,D5SH7  ,9865245,FRLPE               ,3,18,12,0,70,157,26,21,10
HELSINKI,2023-03-24 08:12:40.820149+00:00,244202194,PI6115,0,AMSTERDAM AFRIKAHAVE,3,24,10,30,80,125,10,8,4
TTR RUZIN           ,2023-03-24 08:12:40.820423+00:00,267010002,OMCW   ,0,BRATISLAVA          ,3,6,11,0,79,3,31,7,4
RICHWAY TRADER      ,2023-03-24 08:12:40.821305+00:00,352001532,3E2539 ,9936757,LIVERPOOL UK        ,3,20,11,30,70,198,31,21,11
HELGOEY GLIMT       ,2023-03-24 08:12:40.825035+00:00,258063000,LCCK   ,9751731,RYFYLKE             ,0,0,24,60,40,11,11,4,4
PELAGIA HORDAFOR    ,2023-03-24 08:12:40.831324+00:00,258764000,JXPT   ,9331098,TROMSOE             ,3,24,16,0,90,50,10,5,6
ORKO                ,2023-03-24 08:12:40.836727+00:00,374436000,3EKW4  ,9430325,LISAHALLY           ,3,27,9,0,70,81,12,7,8
HELGOEY GLIMT       ,2023-03-24 08:12:40.857007+00:00,258063000,LCCK   ,9751731,RYFYLKE             ,0,0,24,60,40,11,11,4,4
