IMO,Name,Shipe_type,Fuel_conso_kg/nmile,CO2emission_kg/nmile
9262704,MSC AQUARIUS,Container ship,Division by zero!,Division by zero!
9262900,MINERVA LYDIA,Oil tanker,106.19,335.52
9262936,CPT GEORGIOS S,Bulk carrier,116.79,368.16
9263203,HAFNIA ADAMELLO,Chemical tanker,94.1,298.52
9263253,ANITA,Bulk carrier,190.12,594.49
9263306,BLUEBILL,Bulk carrier,87.23,276.51
9263370,CIUDAD DE IBIZA,Ro-pax ship,150.74,470.44
9263382,FURE FLADEN,Oil tanker,67.69,213.84
9263655,ATHARA,Ro-pax ship,253.39,791.29
9263916,KIBAZ,Oil tanker,100.83,315.46
9263928,TRANS ADRIATIC,Chemical tanker,51.6,162.23
9263942,ASPHALT SEMINOLE,Oil tanker,55.76,176.74
9263954,ASPHALT SAILOR,Chemical tanker,51.04,161.92
9264192,GAZ REDSEA,Gas carrier,51.62,161.29
9264271,CAPE BRADLEY,Chemical tanker,101.81,318.05
9264283,CAPE BACTON,Chemical tanker,112.05,351.41
9264465,MTM FAIRFIELD,Chemical tanker,77.91,245.29
9264714,RUMBA,Container ship,61.36,196.72
9264740,ATLANTIS,Container ship,64.27,202.71
9265366,ANDES,Oil tanker,187.21,589.41
9265419,TASSILI II,Ro-pax ship,181.97,574.16
9265421,EL DJAZAIR II,Ro-pax ship,180.85,570.4
9265586,CMA CGM AGADIR,Container ship,86.4,272.7
9265598,MED TEKIRDAG,Container ship,85.32,267.32
9265689,BITU EXPRESS,Oil tanker,106.96,333.91
9265861,JOHNNY TRAVELLER,Chemical tanker,104.41,330.18
9265885,JOHNNY TRADER,Chemical tanker,110.35,349.37
9266140,FIRST BROTHER,Bulk carrier,67.37,211.88
9266188,SEA LADY,Bulk carrier,Division by zero!,Division by zero!
9266231,STOLT KIRI,Chemical tanker,84.29,264.32
9266243,STOLT KASHI,Chemical tanker,79.9,249.89
9266267,STOLT BETULA,Chemical tanker,92.68,289.29
9266308,BBC EUROPE,Other ship types,58.84,185.93
9266310,BBC ASIA,Other ship types,62.78,198.41
9266449,STAR THETA,Bulk carrier,111.46,351.53
9266542,BF LETICIA,Container ship,80.08,252.56
9266554,ANNETTE,General cargo ship,83.23,260.93
9266566,MARIA,General cargo ship,85.71,268.25
9266841,SEA BEECH,Oil tanker,152.9,483.49
9266865,SEA HOLLY,Oil tanker,145.14,458.08
9266877,SEA VINE,Oil tanker,139.91,444.66
9266906,PAPUA,Bulk carrier,80.32,253.31
9266918,MOUNT BAKER,Bulk carrier,73.2,231.7
9266982,LNG RIVER ORASHI,LNG carrier,295.73,815.73
9266994,LNG ENUGU,LNG carrier,265.56,733.89
9267003,LNG OYO,LNG carrier,255.62,704.92
9267015,LNG BENUE,LNG carrier,308.6,851.92
9267027,BULL KANGEAN,Chemical tanker,106.03,333.36
9267170,NIKOLAOS GS,Bulk carrier,59.55,188.69
9267209,FEDERAL SETO,Bulk carrier,76.52,243.43
9267285,UNISPACE,General cargo ship,52.83,165.29
9267390,LOBO MARINHO,Ro-pax ship,170.91,536.75
9267558,KIISLA,Oil tanker,70.02,224.48
9267560,SUULA,Chemical tanker,68.98,221.14
9267637,MSC PEGASUS,Container ship,316.61,1004.15
9267663,GRAND EAGLE,Vehicle carrier,91.43,288.19
9267675,MARTORELL,Vehicle carrier,98.2,306.78
9267687,PROGRESS ACE,Vehicle carrier,93.1,294.21
9267699,PROMINENT ACE,Vehicle carrier,97.04,306.34
9267716,BALTICBORG,Ro-ro ship,82.34,257.17
9267728,BOTHNIABORG,Ro-ro ship,78.87,246.3
9267742,HR REVOLUTION,Other ship types,57.69,181.06
9267754,INDUSTRIAL ROYAL,Other ship types,56.49,176.76
9267924,ONYX ARROW,Vehicle carrier,135.98,430.06
9267974,GAZ FIDELITY,Gas carrier,51.68,161.46
9268291,OCEAN PRINCESS,Oil tanker,68.97,221.11
9268423,FURE FERDER,Chemical tanker,63.26,199.95
9268473,AIGAION,Bulk carrier,Division by zero!,Division by zero!
9268485,CYCLADES,Bulk carrier,Division by zero!,Division by zero!
9268631,ACQUAMARINA,Chemical tanker,91.51,293.38
9268708,PONT-AVEN,Ro-pax ship,319.18,1003.76
9268916,S-BRAND,Bulk carrier,68.67,216.81
9268928,OTAGO HARBOUR,Bulk carrier,81,255.97
9268942,OAK HARBOUR,Bulk carrier,73.41,232.01
9268980,OMICRON NIKOS,Bulk carrier,87.44,276
9269207,GLOBAL ENERGY,LNG carrier,318.11,884.95
9269269,GASCHEM BALTIC,Gas carrier,63.18,198.46
9269271,GASCHEM SHINANO,Gas carrier,64.44,202.54
9269403,BIANCA AMORETTI,Oil tanker,116.66,367.13
9269960,LNG LOKOJA,LNG carrier,302.33,833.41
9270440,XIN PU DONG,Container ship,234.82,733.96
9270490,CHEMTRANS SEA,Oil tanker,122.03,380.94
9270646,SHIBA,Container ship,95.94,302.22
9270684,DAISY,Container ship,125.98,393.33
9270696,KASHAN,Container ship,133.86,418.7
9270737,KRITI,Oil tanker,125.01,391.43
9270842,VILLE DE BORDEAUX,Ro-ro ship,107.72,337.62
9270919,MARINA K,Bulk carrier,70.29,219.66
9271248,ARCTIC PRINCESS,LNG carrier,316.32,936.86
9271327,IBLEA,Oil tanker,168.32,527.11
9271511,FEDERAL DANUBE,Bulk carrier,85.32,271.32
9271559,CAPE KORI,Bulk carrier,154.96,485.2
9271573,MONTE TOLEDO,Oil tanker,188.43,588.38
9271585,CRESCENT MOON,Oil tanker,286.7,901.16
9271884,FURE NORD,Chemical tanker,68.01,215.09
9271896,RAMONA,Chemical tanker,55.57,177.88
9271925,WLADYSLAW ORKAN,General cargo ship,117.77,370.23
9272199,CHAMPION CONTEST,Chemical tanker,107.17,339.01
9272204,CHAMPION CONCEPT,Oil tanker,104.32,329.64
9272216,CHIPOLBROK MOON,General cargo ship,Division by zero!,Division by zero!
9272228,LEOPOLD STAFF,General cargo ship,99.59,312.66
9272230,CHIPOLBROK SUN,General cargo ship,114.42,358.78
9272345,PARTAGAS,Bulk carrier,156.22,486.91
9272448,NERAIDA,Bulk carrier,101.3,322.42
9272668,STOLT ACER,Chemical tanker,129.33,408.03
9272735,BOMAR QUEST,Chemical tanker,40.8,130.81
9272747,ELLEN ESSBERGER,Chemical tanker,50.15,160.77
9272761,LIESEL ESSBERGER,Chemical tanker,49.89,159.96
9272773,ADMIRALTY SPIRIT,General cargo ship,71.07,222.67
9272785,MARYLISA V,Bulk carrier,88.54,279.02
9272931,SW TROPEZ I,Chemical tanker,101.34,321.04
9272955,PANTAZIS L,Bulk carrier,Division by zero!,Division by zero!
9273014,STELLAR TOLEDO,Bulk carrier,37.84,118.85
9273064,HEATHER KNUTSEN,Oil tanker,315.05,1010.05
9273088,OKYROE,Oil tanker,132.66,414.66
9273210,BONANZA,Bulk carrier,119.76,378.53
9273260,TORM SARA,Oil tanker,100.98,316.27
9273351,ETERNAL SUNSHINE,Oil tanker,92.07,288.15
9273442,SAUGER,Oil tanker,119.69,374.89
9273557,JASMINE KNUTSEN,Oil tanker,238,763.02
9273650,BRUNO,Chemical tanker,233.33,732.29
9273727,BIRKA STOCKHOLM,Passenger ship,Division by zero!,Division by zero!
9273791,DONALD,General cargo ship,69.58,219.69
9273832,SCARLET IBIS,Chemical tanker,112.36,355.25
9273894,VIRGO LEADER,Vehicle carrier,104.67,331.49
9273923,CAP CARMEL,Container ship,109.27,340.28
9274317,STOLT VIRTUE,Chemical tanker,79.17,247.56
9274329,STOLT VISION,Chemical tanker,81.52,254.97
9274355,OCCITAN SKY,Bulk carrier,77.61,246.84
9274460,WHITE BAY,Bulk carrier,93.54,292.29
9274513,NORDIC BRASILIA,Oil tanker,170.29,532.46
9274525,NORDIC RIO,Oil tanker,161.68,505.27
9274537,SCOT FRANKFURT,Chemical tanker,216.3,693.45
9274549,SCOT STUTTGART,Chemical tanker,50.87,159.57
9274666,FUREVIK,Chemical tanker,120.77,387.18
9274812,ERVIKEN,Oil tanker,280.32,878.46
9274848,FREESIA SEAWAYS,Ro-ro ship,150.51,470.06
9274939,PACIFIC FRIEDA,Bulk carrier,101.12,319.93
9275036,BOMAR JULIANA,Container ship,139.34,439.42
9275048,GARDINER,Container ship,148.81,469
9275050,CMA CGM PUERTO ANTIOQUIA,Container ship,118.85,371.38
9275062,CAP BEATRICE,Container ship,127.62,399.2
9275115,SC MARIGOT,Container ship,78.44,247.25
9275141,KRITON,Bulk carrier,103.77,327.46
9275256,ANWAAR LIBYA,Oil tanker,115.94,362.15
9275268,ANWAAR AFRIQYA,Oil tanker,97.49,304.56
9275323,S-BRILLIANT,Bulk carrier,99.89,315.64
9275335,ARCTIC VOYAGER,LNG carrier,303.57,867.31
9275347,LALLA FATMA N'SOUMER,Gas carrier,335.71,927.55
9275397,MSC MANYA,Container ship,156.84,495.7
9275763,FREIGHT MARGIE,Oil tanker,125.75,397.54
9275957,MANASOTA,Bulk carrier,179.55,559.89
9275969,AMAZON BEAUTY,Oil tanker,135.09,423.71
9275971,MSC MARINA,Container ship,258.71,815.55
9276016,SURFER ROSA,Oil tanker,128.19,405.69
9276169,ASCANIOS,Bulk carrier,92.51,291.93
9276341,X-PRESS MONTE BIANCO,Container ship,66.4,207.22
9276389,ARCTIC DISCOVERER,LNG carrier,364.91,1036.05
9276561,MINERVA HELEN,Oil tanker,177.58,563.43
9276573,MINERVA ELEONORA,Oil tanker,194.53,614.8
9276585,MINERVA ROXANNE,Oil tanker,151.79,482.21
9276597,MINERVA LISA,Oil tanker,158.48,503.77
9276743,AGIA MARINA,Bulk carrier,78.34,246.02
9277280,FWN RANGER,Other ship types,62.33,194.48
9277292,INDUSTRIAL RUBY,Other ship types,55.05,172.8
9277319,JAMTLAND,General cargo ship,37.43,119.99
9277321,SMALAND,General cargo ship,43.08,138.11
9277333,BOCS AFRICA,General cargo ship,47.46,149.61
9277345,JUTLAND,General cargo ship,38.84,124.52
9277371,TERNVAG,Chemical tanker,57.54,184.46
9277383,TINA,Container ship,76.61,238.84
9277395,CANDELARIA B,Container ship,79.4,251.5
9277400,OLAND,Container ship,67.49,212.49
9277474,SASSY SOFIA,Bulk carrier,80.01,251.24
9277632,KANG MAN,Bulk carrier,104.98,329.96
9277644,KANG HUAN,Bulk carrier,105.15,328.68
9277656,ANASTASIA S,Bulk carrier,88.85,279.63
9277735,HOUSTON STAR,Oil tanker,140.6,443.14
9277785,TORM EMILIE,Oil tanker,99.05,309.07
9277802,RCC AMERICA,Vehicle carrier,110.61,349.3
9277814,RCC AFRICA,Vehicle carrier,105.9,334.66
9277826,AMBER ARROW,Vehicle carrier,114.36,361.21
9277943,CLIPPER SKY,Gas carrier,118.28,371.18
9278052,MTM COLORADO,Chemical tanker,106.28,335.77
9278064,MTM HUDSON,Chemical tanker,100.58,317.6
9278090,YM FOUNTAIN,Container ship,233.59,733.8
9278143,MSC ELENI,Container ship,201.97,638.18
9278234,COLOR FANTASY,Ro-pax ship,234.74,734.87
9278428,ATLANTIC B,Bulk carrier,Division by zero!,Division by zero!
9278430,PANAMAX BREEZE,Bulk carrier,Division by zero!,Division by zero!
9278662,BLAAMANEN,Chemical tanker,75.09,236.25
9278698,CARIBBEAN STAR,Oil tanker,96.51,304.69
9278715,GINGA TIGER,Chemical tanker,92.94,292.26
9278727,GINGA LION,Chemical tanker,84.86,265.46
9278765,KANG YU,Bulk carrier,93.76,296.42
9278777,KANG YAO,Bulk carrier,85.21,265.59
9278791,FEDERAL NAKAGAWA,Bulk carrier,79.83,253.5
9278806,GUTIAN LOYAL,Bulk carrier,99.21,309.2
9278868,WEST BAY,Bulk carrier,101.08,315.82
9278870,APAGEON,Bulk carrier,91.54,289.77
9278882,STELLA ISLAND,Bulk carrier,72.76,229.43
9278911,SUPER BAYERN,Bulk carrier,67.88,214.06
9278923,LILA,Bulk carrier,40.87,127.88
9279202,ANGELINA AMORETTI,Chemical tanker,114.69,361.19
9279329,GRAND DOLPHIN,Vehicle carrier,116.28,367.92
9279331,GRAND AURORA,Vehicle carrier,127.35,403.91
9279367,SILVER LADY,Bulk carrier,98.61,309.95
9279484,STARLIGHT,Bulk carrier,109.31,340.92
9279537,TOPAZ,Bulk carrier,27.14,87.01
9279551,SEA BRAVE,Bulk carrier,78.65,248.13
9279733,SEA HERMES I,Oil tanker,101.52,320.97
9279783,MARITSA,Bulk carrier,99.31,311.09
9279812,NEPTUNE KOPER,Vehicle carrier,93.27,294.12
9279836,OMEGA,Bulk carrier,96.03,300.15
9279965,MSC FABIENNE,Container ship,215.41,679.4
9279977,MSC POH LIN,Container ship,229.58,725.19
9279989,MSC STELLA,Container ship,249.13,781.62
9280366,CONFIDENCE,Oil tanker,220.12,688.67
9280615,CMA CGM MOZART,Container ship,154.29,486.29
9280639,CMA CGM ROSSINI,Container ship,177.44,559.13
9280770,ANNA SMILE,Bulk carrier,116.18,367.14
9280809,REN JIAN 19,Container ship,Division by zero!,Division by zero!
9281267,MSC ORNELLA,Container ship,187.79,593.58
9281279,MSC LISA,Container ship,201.91,637.44
9281281,VICTORIA I,Ro-pax ship,245.4,782.2
9281322,VOLCAN DE TAMASITE,Ro-pax ship,172.71,538.41
9281334,VOLCAN DE TIMANFAYA,Ro-pax ship,150.32,468.64
9281437,MARIETTA,Bulk carrier,110.72,346.74
9281487,SILVER LION,General cargo ship,30.8,98.75
9281499,KAREWOOD PRIDE,General cargo ship,26.63,85.37
9281504,KAREWOOD GLORY,General cargo ship,28.89,92.61
9281516,KAREWOOD BRAVE,General cargo ship,26.67,85.52
9281566,MARKOS I,Chemical tanker,141.29,444.49
9281578,LOUKAS I,Chemical tanker,107.94,338.72
9281920,MTM POTOMAC,Chemical tanker,98.64,312.63
9281968,VELVET ROSE,Bulk carrier,110.04,345.83
9282041,AXEL SPIRIT,Oil tanker,148.83,469.37
9282053,ESTHER SPIRIT,Oil tanker,131.14,409.5
9282168,BOSTON TRADER,General cargo ship,79.25,247.07
9282170,MICHELANGELO TRADER,Container ship,93.13,292.74
9282338,SAROS B,Other ship types,46.22,144.61
9282364,TATLISU,Chemical tanker,44.34,139.95
9282388,YUANNING SEA,Bulk carrier,107.16,336.44
9282390,YUANPING SEA,Bulk carrier,101.54,318.33
9282479,MAGNUS,Oil tanker,173.92,544.58
9282481,PIPER,Oil tanker,198.06,620.97
9282493,TARTAN,Oil tanker,200.57,627.92
9282510,DYLAN,Oil tanker,102.7,321.7
9282558,HIGH PRIORITY,Oil tanker,88.54,275.78
9282613,PELAGIANI,Bulk carrier,72.95,228.93
9282625,PGC COMPANION,Oil tanker,133.21,426.98
9282780,TEAM CHALLENGE,Bulk carrier,63.83,200.09
9282821,HOPE A.,Chemical tanker,118.49,372.29
9282924,MTM GIBRALTAR,Chemical tanker,79.47,251.23
9282948,NIMET TORLAK,Bulk carrier,74.56,235.68
9282998,ALABAMA STAR,Oil tanker,165.5,520.79
9283007,ARTABAZ,Container ship,140.19,436.54
9283186,MONTE CERVANTES,Container ship,206.92,651.25
9283198,MONTE OLIVIA,Container ship,212.16,667.36
9283203,MONTE PASCOAL,Container ship,198.77,624.63
9283239,MONTE VERDE,Container ship,220.5,693.53
9283306,VENICE A,Oil tanker,158.28,497.5
9283538,LAKE ONTARIO,Bulk carrier,73.81,230.92
9283540,LAKE ERIE,Bulk carrier,84.84,267.35
9283617,PGC IKAROS,Oil tanker,149.01,470.54
9283629,PGC ASPROPYRGOS,Oil tanker,128.22,408.45
9283679,RES COGITANS,Oil tanker,134.77,421.86
9283693,AS PALINA,Container ship,143.27,447.59
9283710,TORM HORIZON,Oil tanker,84.83,266.5
9283784,LEONORA VICTORY,Chemical tanker,91.93,289.48
9283796,DELPHI,Oil tanker,127.71,400.54
9283863,CAPRICORNUS LEADER,Vehicle carrier,111.25,349.65
9283875,PHOENIX LEADER,Vehicle carrier,110.81,351.18
9283899,TANAIS DREAM,Bulk carrier,63.82,200.62
9283954,ABB BENTJE,General cargo ship,63.09,199.23
9283966,ABB ELKE,General cargo ship,55.01,172.81
9283978,STENBERG,Oil tanker,59.97,192.26
9284001,PORT PEGASUS,Bulk carrier,70.97,224.47
9284013,ALRAR,Gas carrier,154.27,488.39
9284025,RHOURD ENOUSS,Gas carrier,183.6,581.26
9284192,ARCTIC LADY,LNG carrier,481.96,1363.06
9284269,BAKER RIVER,Bulk carrier,102.1,318.99
9284271,BULK ARA,Bulk carrier,186.44,586.16
9284300,SSI CHALLENGER,Bulk carrier,73.02,228.12
9284362,AFRICAN HAWK,Bulk carrier,66.72,210.31
9284374,NORDIC JOSEPHINE,Oil tanker,189.67,600.6
9284439,GIULIA IEVOLI,Chemical tanker,77.9,244.7
9284477,STAR ZETA,Bulk carrier,89.27,280.29
9284520,STAR HARMONY,Bulk carrier,80.88,255.72
9284544,SSI AVENGER,Bulk carrier,65.7,206.84
9284647,BIT OKTANIA,Chemical tanker,66.31,210.12
9284697,STOLT ENDURANCE,Chemical tanker,83.14,260.47
9284702,FEDERAL KUSHIRO,Bulk carrier,63.01,200.52
9284726,SHANDONG WEIHE,Oil tanker,97.62,312.98
9284740,CENTAURUS LEADER,Vehicle carrier,100.51,314.8
9284752,LYRA LEADER,Vehicle carrier,111.51,353.14
9284764,GRAND PHOENIX,Vehicle carrier,111.83,353.41
9284776,GRAND PAVO,Vehicle carrier,114.32,361.28
9284843,JAEGER,Bulk carrier,93.78,294.29
9284893,NAVIOS ALEGRIA,Bulk carrier,115.06,361.48
9284908,STAR EMILY,Bulk carrier,96.68,302.61
9284946,AUSTRALIS,Oil tanker,Division by zero!,Division by zero!
9285005,OOCL ATLANTA,Container ship,280.85,885.18
9285017,KANG CHENG,Bulk carrier,93,291.29
9285029,KUJAWY,Bulk carrier,81.48,257.55
9285079,KANG SHUN,Bulk carrier,Division by zero!,Division by zero!
9285108,NEW LIULINHAI,Bulk carrier,Division by zero!,Division by zero!
9285110,PLACID SEA,Bulk carrier,100.35,316.09
9285122,MAZURY,Bulk carrier,76.55,240.86
9285134,PODHALE,Bulk carrier,77.96,244.52
9285146,WARMIA,Bulk carrier,73.33,231.11
9285328,VERONICA PG,Chemical tanker,77.19,243.08
9285354,UBC TAMPICO,General cargo ship,89.53,280.02
9285407,TULPAR,Bulk carrier,77.05,240.81
9285471,MSC TIANJIN,Container ship,280.41,880.48
9285495,HOEGH SEOUL,Vehicle carrier,111.37,349.87
9285615,MORNING CALM,Vehicle carrier,127.71,403.57
9285627,MORNING CHAMPION,Vehicle carrier,144.36,460.41
9285639,MORNING COURIER,Vehicle carrier,139.56,440.73
9285641,MORNING CROWN,Vehicle carrier,118.33,375.15
9285665,MSC YOKOHAMA,Container ship,285.88,904.2
9285689,GSL KALLIOPI,Container ship,234.87,738.41
9285691,MSC VANCOUVER,Container ship,292.57,922.61
9285835,WONDER POLARIS,Oil tanker,136.08,425.57
9285847,WONDER SIRIUS,Oil tanker,201.05,632.34
9285859,WONDER BELLATRIX,Oil tanker,161.55,505.61
9285861,MINERVA IRIS,Oil tanker,145.46,461.25
9285938,ISABELLE G,Bulk carrier,90,282.43
9285940,JOHANNA G,Bulk carrier,93.14,292.4
9285952,LUSAIL,LNG carrier,327.19,948.7
9285988,EUROPE,Container ship,303.72,947.97
9286047,GIANNUTRI,Chemical tanker,88.44,282.44
9286059,BALTIC SUN II,Chemical tanker,105.74,336.41
9286231,CONTI EVEREST,Container ship,328.9,1038.73
9286267,SEAMAX GREENWICH,Container ship,297.29,931.47
9286281,KAVERI SPIRIT,Oil tanker,307.36,972.61
9286437,IVER AGILE,Oil tanker,50.31,157.76
9286449,MSC HOGGAR,Container ship,65.41,206.46
9286554,CHEM ANTARES,Chemical tanker,81.9,259.44
9286566,YASA NESLIHAN,Bulk carrier,96.74,303.26
9286592,THALASSINI,Bulk carrier,112.58,354.83
9286607,KAVO YERAKI,Bulk carrier,110.17,347.57
9286621,TRAMP LADY,Bulk carrier,87.25,274.42
9286633,PROTEFS,Bulk carrier,114.54,361.54
9286774,AS PAULINA,Container ship,128.72,402.97
9286786,AS PETRONIA,Container ship,137.37,428.95
9286798,MARAN INNOVATION,Bulk carrier,177.07,554.2
9286827,EKEN,Oil tanker,51.66,165.64
9286865,NAVIOS ORBITER,Bulk carrier,105.69,332.61
9286889,CHAILEASE GLORY,Bulk carrier,93.93,296.47
9286906,NAVIOS ANTHOS,Bulk carrier,101.24,318.66
9286920,BALTIA,Bulk carrier,116,368.56
9287194,JUPITER,Bulk carrier,105.83,333.92
9287297,CHEM TIGER,Chemical tanker,64.96,205.54
9287314,MANISA VERA,General cargo ship,52.47,164.93
9287340,UBC STAVANGER,General cargo ship,80.69,252.76
9287417,GRANDE ANVERSA,Vehicle carrier,90.56,284.06
9287584,FLORENCIA,Ro-pax ship,154.49,481.97
9287687,ANNAMARIE,Container ship,80.22,250.17
9287704,RS LISA,Container ship,72.1,224.83
9287716,FENJA,Container ship,67.77,211.8
9287807,VOHBURG,Container ship,66.63,213.61
9287900,MSC MARIA CLARA,Container ship,180.94,575.41
9287924,MSC VERACRUZ,Container ship,236.85,740.36
9287998,JIA HE,Bulk carrier,93.38,292.43
9288021,TORM HELVIG,Oil tanker,89.16,278.65
9288045,STATENGRACHT,General cargo ship,93.88,292.79
9288057,SUOMIGRACHT,General cargo ship,101.99,318.3
9288069,SAIMAAGRACHT,General cargo ship,97,302.51
9288071,SAMPOGRACHT,General cargo ship,97.27,303.47
9288239,AC SPLENDOR,Bulk carrier,78.86,247.96
9288289,UACC HARMONY,Oil tanker,95.42,301.84
9288291,FEDERAL SAKURA,Bulk carrier,67.42,213.98
9288332,SEABOSS,Bulk carrier,104.48,329.36
9288344,SEALUCK II,Bulk carrier,99.29,312.69
9288356,ENERGY CHAMPION,Oil tanker,154.21,487.35
9288435,AQUA LADY,Bulk carrier,103.53,322.56
9288461,GORGOYPIKOOS,Bulk carrier,Division by zero!,Division by zero!
9288473,GLORY,Bulk carrier,118.43,369.5
9288485,NEWSEAS JADE,Bulk carrier,91.94,286.45
9288693,DELTA PIONEER,Oil tanker,226.31,713.44
9288708,DELTA VICTORY,Oil tanker,199.2,628.42
9288710,DELTA CAPTAIN,Oil tanker,182.33,571.23
9288722,DELTA SAILOR,Oil tanker,200.97,634.59
9288734,SEABRAVERY,Oil tanker,136.9,432.76
9288746,SEABORN,Oil tanker,154.01,481.76
9288760,SUNNY VICTORY,Oil tanker,105.66,333.32
9288772,DIDIMON,Oil tanker,97.29,305.14
9288796,LUCKY LADY,Chemical tanker,123.99,389.83
9288813,CHAMPION ENDURANCE,Oil tanker,92.72,290.32
9288825,WENCHE VICTORY,Chemical tanker,110.54,349
9288837,CHAMPION TIMUR,Oil tanker,108.9,343.83
9288851,CARLTON,Oil tanker,161.12,504.62
9288863,SEAQUEEN,Oil tanker,127.52,400.53
9288887,NORDIC FREEDOM,Oil tanker,212.08,663.16
9288916,CAPT THANASIS,Oil tanker,105.81,334.65
9288942,VALLE DI NERVION,Oil tanker,105.03,331.91
9288954,MARINER A,Chemical tanker,91.32,286.08
9289013,SPAR LYRA,Bulk carrier,97.65,306.05
9289025,SPAR LYNX,Bulk carrier,93.94,293.94
9289063,PINARA,Container ship,88.41,276.05
9289087,MSC BUSAN,Container ship,272.94,864.89
9289099,MSC BEIJING,Container ship,283.67,895.42
9289104,MSC LUCY,Container ship,266.79,840.95
9289116,MSC RITA,Container ship,275.59,869.51
9289128,MSC MAEVA,Container ship,277.74,876.13
9289178,XANTHOS,Oil tanker,115.65,367.15
9289180,SAFMARINE CAMEROUN,Container ship,104.52,325.86
9289192,MAERSK YORKTOWN,Container ship,107.69,335.6
9289518,AJAX,Oil tanker,163.41,516.6
9289532,APOLLON,Oil tanker,111.35,349.94
9289544,CSL ATLANTIC,Container ship,Division by zero!,Division by zero!
9289556,CSL MANHATTAN,Container ship,219.96,688.86
9289738,HIGH VALOR,Chemical tanker,92.93,291.46
9289752,RIVER SHINER,Oil tanker,128.83,403.46
9289908,LAKE TAUPO,Vehicle carrier,98.75,309.22
9289972,MSC TUXPAN,Container ship,239.24,747.82
9290048,BF AYITA,General cargo ship,44.23,140.16
9290074,ELBA,General cargo ship,51.25,161.95
9290103,CSCL SYDNEY,Container ship,160.81,507.82
9290139,CSCL BRISBANE,Container ship,153.66,485.04
9290165,VICTORIA,Container ship,92.59,288.37
9290177,VERA D,Container ship,116.43,363.58
9290232,KAVO AETOS,Bulk carrier,Division by zero!,Division by zero!
9290282,MSC RACHELE,Container ship,272.28,858.38
9290311,BRYANSTON,Oil tanker,156.95,492.74
9290323,AEGEAN ANGEL,Oil tanker,196.35,620.16
9290335,AEGEAN DIGNITY,Oil tanker,201.1,637.36
9290359,OTTOMAN NOBILITY,Oil tanker,165.72,518.38
9290361,SEAOATH,Oil tanker,146.73,466.49
9290373,BESIKTAS BOSPHORUS,Oil tanker,158.05,498.9
9290397,KRITI VIGOR,Oil tanker,246.72,775.61
9290414,OOCL ST. LAWRENCE,Container ship,174.62,555.75
9290464,SEAMAX NORWALK,Container ship,291.06,919.12
9290476,MAERSK KOWLOON,Container ship,304.86,953.76
9290488,BALTIC BRIDGE,Container ship,305.98,959
9290505,BASILIS L,Chemical tanker,82.06,259.69
9290517,LISCA BIANCA M,Oil tanker,125.96,395.66
9290531,MSC PAMELA,Container ship,315.87,986.05
9290543,MSC SUSANNA,Container ship,295.4,926.85
9290579,TORM RAGNHILD,Oil tanker,82.37,256.93
9290593,BULK CHINA,Bulk carrier,194.58,614.42
9290608,CHAMPION EBONY,Chemical tanker,104.45,330.58
9290658,TORM REPUBLICAN,Oil tanker,83.49,262.25
9290828,BYRON,Oil tanker,96.82,305.41
9290830,BLUE TRADER,Oil tanker,152.17,477.24
9290892,ELIZABETH RIVER,Bulk carrier,107.8,336.11
9290921,EVROS,Chemical tanker,82.96,260.75
9290933,NORDIC LUNA,Oil tanker,172.87,540.93
9290957,TORM SIGNE,Oil tanker,99.31,310.81
9291066,HAI XING,Chemical tanker,70,218.33
9291121,KAVO ALKYON,Bulk carrier,Division by zero!,Division by zero!
9291224,GAZ INTERCEPTOR,Gas carrier,51.45,161.47
9291248,ATHINEA,Oil tanker,Division by zero!,Division by zero!
9291250,ALMI STAR,Oil tanker,206.48,650.38
9291262,MATTERHORN SPIRIT,Oil tanker,196.77,619.59
9291391,THOR MAXIMUS,Bulk carrier,79.64,248.26
9291406,THEODOR OLDENDORFF,Bulk carrier,105.1,329.6
9291418,THOR,Bulk carrier,96.01,303.36
9291456,MTM ANTWERP,Chemical tanker,55.36,176.39
9291597,YM JUPITER,Chemical tanker,76.13,241.76
9291640,ARTEMIS,Oil tanker,127.01,402
9291779,AGIOS NIKOLAS,Bulk carrier,112.4,352.66
9291963,BBC CAMPANA,General cargo ship,61.36,191.34
9292034,TOWER BRIDGE,Oil tanker,90.48,285.42
9292060,TAVRICHESKY BRIDGE,Oil tanker,92.08,289.97
9292113,SOMBEKE,Gas carrier,94.53,295.41
9292125,KONRAD,Container ship,108.24,341.19
9292163,FRONT FORCE,Oil tanker,720.06,2283.94
9292199,BESIKTAS DARDANELLES,Oil tanker,209.73,663.23
9292204,ADYGEYA,Oil tanker,141.29,448.56
9292278,VALLE DI GRANADA,Oil tanker,111.39,352.59
9292280,MELORIA,Oil tanker,129.48,407.83
9292436,AS FREYA,Container ship,95.89,299.23
9292503,HELGA SPIRIT,Oil tanker,145.96,465.29
9292515,ERIK SPIRIT,Oil tanker,159.39,496.86
9292577,KRITI EMERALD,Oil tanker,114.25,358.74
9292591,GEA,Oil tanker,109.57,345.59
9292618,ANASTASIA,Bulk carrier,111.2,347.92
9292761,LIBRAMONT,Gas carrier,105.84,332.11
9292840,VALTAMED,Oil tanker,171.59,542.43
9292943,X-PRESS MONTE CERVINO,Container ship,70.52,220.12
